,Processed Title,Success,overall_polarity_char_1,overall_polarity_char_2,overall_polarity_char_3,overall_polarity_char_4,overall_polarity_char_5,polarity_of_mentions_char_1,polarity_of_mentions_char_2,polarity_of_mentions_char_3,polarity_of_mentions_char_4,polarity_of_mentions_char_5,neg_polarity_of_mentions_char_1,neg_polarity_of_mentions_char_2,neg_polarity_of_mentions_char_3,neg_polarity_of_mentions_char_4,neg_polarity_of_mentions_char_5,pos_polarity_of_mentions_char_1,pos_polarity_of_mentions_char_2,pos_polarity_of_mentions_char_3,pos_polarity_of_mentions_char_4,pos_polarity_of_mentions_char_5,compound_polarity_of_mentions_char_1,compound_polarity_of_mentions_char_2,compound_polarity_of_mentions_char_3,compound_polarity_of_mentions_char_4,compound_polarity_of_mentions_char_5,tot_pass_sents,tot_sents,passive_ratio,tot_coref_sents,pct_coref_sents,num_sents_char_1,num_sents_char_2,num_sents_char_3,num_sents_char_4,num_sents_char_5,n_coref_sents_char_1,n_coref_sents_char_2,n_coref_sents_char_3,n_coref_sents_char_4,n_coref_sents_char_5
Die Hard 2,Die-Hard-2,1,-0.9982,0.9958,-0.9961,-0.9684,-0.9932,"{'neg': 0.128, 'neu': 0.775, 'pos': 0.097, 'compound': -0.9999}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.112, 'neu': 0.835, 'pos': 0.053, 'compound': -0.999}","{'neg': 0.082, 'neu': 0.864, 'pos': 0.054, 'compound': -0.9684}","{'neg': 0.123, 'neu': 0.813, 'pos': 0.064, 'compound': -0.9992}",0.128,0.0,0.112,0.082,0.123,0.097,0.0,0.053,0.054,0.064,-0.9999,0.0,-0.999,-0.9684,-0.9992,26,611,0.0425531914893617,29,0.04746317512274959,277,100,75,75,84,18,0,5,1,5
Sleepy Hollow,Sleepy-Hollow,1,-0.9794,-0.9893,0.5662,0.9516,-0.991,"{'neg': 0.114, 'neu': 0.772, 'pos': 0.113, 'compound': -0.9941}","{'neg': 0.161, 'neu': 0.709, 'pos': 0.13, 'compound': -0.9893}","{'neg': 0.077, 'neu': 0.843, 'pos': 0.081, 'compound': 0.8633}","{'neg': 0.139, 'neu': 0.692, 'pos': 0.169, 'compound': 0.9876}","{'neg': 0.147, 'neu': 0.762, 'pos': 0.09, 'compound': -0.991}",0.114,0.161,0.077,0.139,0.147,0.113,0.13,0.081,0.169,0.09,-0.9941,-0.9893,0.8633,0.9876,-0.991,39,867,0.04498269896193772,30,0.03460207612456748,475,152,111,64,65,11,9,4,5,1
Vanilla Sky,Vanilla-Sky,1,0.9999,0.9998,0.9815,0.9751,0.9992,"{'neg': 0.118, 'neu': 0.709, 'pos': 0.173, 'compound': 1.0}","{'neg': 0.084, 'neu': 0.708, 'pos': 0.208, 'compound': 0.9999}","{'neg': 0.141, 'neu': 0.7, 'pos': 0.159, 'compound': 0.9948}","{'neg': 0.097, 'neu': 0.801, 'pos': 0.103, 'compound': 0.9937}","{'neg': 0.046, 'neu': 0.785, 'pos': 0.169, 'compound': 0.9999}",0.118,0.084,0.141,0.097,0.046,0.173,0.208,0.159,0.103,0.169,1.0,0.9999,0.9948,0.9937,0.9999,57,1608,0.03544776119402985,157,0.09763681592039801,819,277,190,204,118,51,24,25,32,25
Battle: Los Angeles,Battle-Los-Angeles,1,0.9127,0.9784,-0.4983,-0.9595,-0.4153,"{'neg': 0.069, 'neu': 0.808, 'pos': 0.123, 'compound': 0.9127}","{'neg': 0.076, 'neu': 0.797, 'pos': 0.127, 'compound': 0.9784}","{'neg': 0.115, 'neu': 0.784, 'pos': 0.102, 'compound': -0.4983}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.069,0.076,0.115,0.0,0.0,0.123,0.127,0.102,0.0,0.0,0.9127,0.9784,-0.4983,0.0,0.0,10,176,0.056818181818181816,7,0.03977272727272727,41,54,24,33,24,3,3,1,0,0
War Horse,War-Horse,1,0.9989,-0.8794,0.9741,0.9382,0.9885,"{'neg': 0.057, 'neu': 0.804, 'pos': 0.139, 'compound': 0.9989}","{'neg': 0.149, 'neu': 0.713, 'pos': 0.138, 'compound': -0.8794}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.057,0.149,0.0,0.0,0.0,0.139,0.138,0.0,0.0,0.0,0.9989,-0.8794,0.0,0.0,0.0,13,577,0.022530329289428077,9,0.01559792027729636,276,89,78,77,57,2,7,0,0,0
Big Fish,Big-Fish,1,0.9994,0.9983,0.9947,0.9973,0.995,"{'neg': 0.093, 'neu': 0.78, 'pos': 0.127, 'compound': 1.0}","{'neg': 0.059, 'neu': 0.822, 'pos': 0.119, 'compound': 0.9995}","{'neg': 0.084, 'neu': 0.773, 'pos': 0.143, 'compound': 0.9986}","{'neg': 0.071, 'neu': 0.798, 'pos': 0.131, 'compound': 0.9993}","{'neg': 0.081, 'neu': 0.746, 'pos': 0.173, 'compound': 0.995}",0.093,0.059,0.084,0.071,0.081,0.127,0.119,0.143,0.131,0.173,1.0,0.9995,0.9986,0.9993,0.995,49,1085,0.04516129032258064,34,0.03133640552995392,539,244,113,128,61,18,2,5,8,1
The Abyss,"Abyss,-The",0,0.5,-0.9987,0.8821,0.5295,0.9804,"{'neg': 0.105, 'neu': 0.782, 'pos': 0.113, 'compound': 0.5514}","{'neg': 0.136, 'neu': 0.769, 'pos': 0.095, 'compound': -0.9999}","{'neg': 0.094, 'neu': 0.799, 'pos': 0.107, 'compound': 0.9857}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.088, 'neu': 0.748, 'pos': 0.164, 'compound': 0.9974}",0.105,0.136,0.094,0.0,0.088,0.113,0.095,0.107,0.0,0.164,0.5514,-0.9999,0.9857,0.0,0.9974,28,950,0.029473684210526315,74,0.07789473684210527,338,338,114,94,66,16,42,10,0,6
The Siege,"Siege,-The",1,-0.9702,0.9965,0.8725,-0.9931,-0.9658,"{'neg': 0.093, 'neu': 0.811, 'pos': 0.096, 'compound': -0.9979}","{'neg': 0.108, 'neu': 0.755, 'pos': 0.137, 'compound': 0.9998}","{'neg': 0.093, 'neu': 0.803, 'pos': 0.104, 'compound': 0.9753}","{'neg': 0.105, 'neu': 0.816, 'pos': 0.079, 'compound': -0.9982}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.093,0.108,0.093,0.105,0.0,0.096,0.137,0.104,0.079,0.0,-0.9979,0.9998,0.9753,-0.9982,0.0,43,1297,0.03315343099460293,83,0.06399383191981496,535,347,152,171,92,34,25,12,12,0
Hard Rain,Hard-Rain,0,-0.993,-0.7283,-0.9987,0.6224,-0.9735,"{'neg': 0.084, 'neu': 0.846, 'pos': 0.069, 'compound': -0.9995}","{'neg': 0.109, 'neu': 0.779, 'pos': 0.112, 'compound': -0.902}","{'neg': 0.15, 'neu': 0.786, 'pos': 0.065, 'compound': -0.9997}","{'neg': 0.104, 'neu': 0.788, 'pos': 0.108, 'compound': 0.7211}","{'neg': 0.085, 'neu': 0.847, 'pos': 0.068, 'compound': -0.9922}",0.084,0.109,0.15,0.104,0.085,0.069,0.112,0.065,0.108,0.068,-0.9995,-0.902,-0.9997,0.7211,-0.9922,24,839,0.028605482717520857,60,0.07151370679380215,315,200,137,97,90,19,10,14,12,5
Next,Next,1,0.9978,0.9918,0.9918,0.9978,0.9978,"{'neg': 0.101, 'neu': 0.768, 'pos': 0.131, 'compound': 0.9999}","{'neg': 0.108, 'neu': 0.757, 'pos': 0.135, 'compound': 0.9994}","{'neg': 0.108, 'neu': 0.757, 'pos': 0.135, 'compound': 0.9994}","{'neg': 0.101, 'neu': 0.768, 'pos': 0.131, 'compound': 0.9999}","{'neg': 0.101, 'neu': 0.768, 'pos': 0.131, 'compound': 0.9999}",0.101,0.108,0.108,0.101,0.101,0.131,0.135,0.135,0.131,0.131,0.9999,0.9994,0.9994,0.9999,0.9999,86,1963,0.04381049414161997,40,0.020376974019358125,469,278,278,469,469,8,8,8,8,8
Hall Pass,Hall-Pass,1,0.9999,0.9998,0.9995,0.9993,0.9954,"{'neg': 0.075, 'neu': 0.789, 'pos': 0.136, 'compound': 1.0}","{'neg': 0.076, 'neu': 0.787, 'pos': 0.137, 'compound': 1.0}","{'neg': 0.061, 'neu': 0.785, 'pos': 0.153, 'compound': 0.9999}","{'neg': 0.091, 'neu': 0.717, 'pos': 0.192, 'compound': 0.9999}","{'neg': 0.091, 'neu': 0.76, 'pos': 0.149, 'compound': 0.9988}",0.075,0.076,0.061,0.091,0.091,0.136,0.137,0.153,0.192,0.149,1.0,1.0,0.9999,0.9999,0.9988,40,1686,0.02372479240806643,247,0.1465005931198102,694,546,207,148,91,67,83,42,34,21
The Insider,"Insider,-The",0,0.997,0.9975,0.846,-0.9856,0.6072,"{'neg': 0.093, 'neu': 0.787, 'pos': 0.12, 'compound': 0.997}","{'neg': 0.093, 'neu': 0.786, 'pos': 0.121, 'compound': 0.9975}","{'neg': 0.1, 'neu': 0.794, 'pos': 0.107, 'compound': 0.8768}","{'neg': 0.127, 'neu': 0.815, 'pos': 0.058, 'compound': -0.996}","{'neg': 0.089, 'neu': 0.801, 'pos': 0.11, 'compound': 0.6072}",0.093,0.093,0.1,0.127,0.089,0.12,0.121,0.107,0.058,0.11,0.997,0.9975,0.8768,-0.996,0.6072,60,1245,0.04819277108433735,33,0.02650602409638554,585,415,145,55,45,13,11,5,2,2
Entrapment,Entrapment,1,0.9997,0.9958,-0.6141,0.9821,0.9531,"{'neg': 0.084, 'neu': 0.769, 'pos': 0.147, 'compound': 0.9999}","{'neg': 0.095, 'neu': 0.795, 'pos': 0.11, 'compound': 0.9993}","{'neg': 0.089, 'neu': 0.837, 'pos': 0.074, 'compound': -0.7945}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.008, 'neu': 0.836, 'pos': 0.156, 'compound': 0.9875}",0.084,0.095,0.089,0.0,0.008,0.147,0.11,0.074,0.0,0.156,0.9999,0.9993,-0.7945,0.0,0.9875,46,1243,0.03700724054706356,37,0.029766693483507644,665,489,40,25,24,15,17,3,0,2
The X Files: Fight the Future,"X-Files-Fight-the-Future,-The",1,-0.9993,-0.996,-0.9967,0.363,0.9448,"{'neg': 0.118, 'neu': 0.822, 'pos': 0.06, 'compound': -0.9998}","{'neg': 0.113, 'neu': 0.808, 'pos': 0.08, 'compound': -0.996}","{'neg': 0.121, 'neu': 0.815, 'pos': 0.063, 'compound': -0.9967}","{'neg': 0.098, 'neu': 0.816, 'pos': 0.086, 'compound': 0.4692}","{'neg': 0.051, 'neu': 0.862, 'pos': 0.087, 'compound': 0.9853}",0.118,0.113,0.121,0.098,0.051,0.06,0.08,0.063,0.086,0.087,-0.9998,-0.996,-0.9967,0.4692,0.9853,59,686,0.08600583090379009,104,0.15160349854227406,309,203,112,29,33,44,36,7,9,8
Saving Private Ryan,Saving-Private-Ryan,1,-0.8536,-0.998,-0.9835,-0.9758,0.9709,"{'neg': 0.123, 'neu': 0.756, 'pos': 0.121, 'compound': -0.9799}","{'neg': 0.163, 'neu': 0.703, 'pos': 0.133, 'compound': -0.9998}","{'neg': 0.15, 'neu': 0.717, 'pos': 0.133, 'compound': -0.9963}","{'neg': 0.123, 'neu': 0.782, 'pos': 0.095, 'compound': -0.997}","{'neg': 0.068, 'neu': 0.838, 'pos': 0.094, 'compound': 0.992}",0.123,0.163,0.15,0.123,0.068,0.121,0.133,0.133,0.095,0.094,-0.9799,-0.9998,-0.9963,-0.997,0.992,38,1023,0.03714565004887586,90,0.08797653958944282,546,173,129,85,90,64,8,5,6,7
Lincoln,Lincoln,1,-0.9784,-0.8671,-0.8155,-0.9845,0.9695,"{'neg': 0.113, 'neu': 0.775, 'pos': 0.112, 'compound': -0.9938}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.133, 'neu': 0.744, 'pos': 0.123, 'compound': -0.9151}","{'neg': 0.136, 'neu': 0.752, 'pos': 0.112, 'compound': -0.9845}","{'neg': 0.069, 'neu': 0.813, 'pos': 0.118, 'compound': 0.9695}",0.113,0.0,0.133,0.136,0.069,0.112,0.0,0.123,0.112,0.118,-0.9938,0.0,-0.9151,-0.9845,0.9695,67,788,0.0850253807106599,10,0.012690355329949238,427,100,124,95,42,5,0,2,2,1
The Matrix,"Matrix,-The",1,0.6157,0.9945,-0.735,-0.66,-0.9958,"{'neg': 0.13, 'neu': 0.724, 'pos': 0.146, 'compound': 0.7117}","{'neg': 0.082, 'neu': 0.807, 'pos': 0.111, 'compound': 0.9994}","{'neg': 0.113, 'neu': 0.77, 'pos': 0.116, 'compound': -0.8984}","{'neg': 0.109, 'neu': 0.783, 'pos': 0.108, 'compound': -0.8547}","{'neg': 0.176, 'neu': 0.698, 'pos': 0.126, 'compound': -0.9995}",0.13,0.082,0.113,0.109,0.176,0.146,0.111,0.116,0.108,0.126,0.7117,0.9994,-0.8984,-0.8547,-0.9995,41,965,0.04248704663212435,93,0.09637305699481866,241,287,183,125,129,14,29,30,8,12
Les Miserables,Les-Miserables,1,0.9955,0.9983,-0.9968,0.9908,0.9826,"{'neg': 0.131, 'neu': 0.716, 'pos': 0.153, 'compound': 0.9997}","{'neg': 0.1, 'neu': 0.729, 'pos': 0.172, 'compound': 0.9996}","{'neg': 0.136, 'neu': 0.766, 'pos': 0.098, 'compound': -0.9968}","{'neg': 0.127, 'neu': 0.707, 'pos': 0.166, 'compound': 0.9984}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.131,0.1,0.136,0.127,0.0,0.153,0.172,0.098,0.166,0.0,0.9997,0.9996,-0.9968,0.9984,0.0,69,766,0.09007832898172324,30,0.0391644908616188,293,114,170,111,78,15,3,9,3,0
Cliffhanger,Cliffhanger,1,-0.998,0.9861,-0.9595,0.9538,-0.9637,"{'neg': 0.112, 'neu': 0.797, 'pos': 0.091, 'compound': -0.9999}","{'neg': 0.121, 'neu': 0.729, 'pos': 0.149, 'compound': 0.9986}","{'neg': 0.125, 'neu': 0.762, 'pos': 0.113, 'compound': -0.9977}","{'neg': 0.069, 'neu': 0.839, 'pos': 0.092, 'compound': 0.993}","{'neg': 0.107, 'neu': 0.795, 'pos': 0.097, 'compound': -0.9938}",0.112,0.121,0.125,0.069,0.107,0.091,0.149,0.113,0.092,0.097,-0.9999,0.9986,-0.9977,0.993,-0.9938,40,779,0.051347881899871634,97,0.1245186136071887,317,164,129,94,75,37,10,18,25,7
Broken Arrow,Broken-Arrow,1,-0.9989,-0.9817,-0.9974,-0.7085,-0.985,"{'neg': 0.105, 'neu': 0.826, 'pos': 0.07, 'compound': -0.9999}","{'neg': 0.106, 'neu': 0.798, 'pos': 0.096, 'compound': -0.9976}","{'neg': 0.115, 'neu': 0.812, 'pos': 0.073, 'compound': -0.9993}","{'neg': 0.051, 'neu': 0.894, 'pos': 0.055, 'compound': -0.8862}","{'neg': 0.13, 'neu': 0.812, 'pos': 0.058, 'compound': -0.9982}",0.105,0.106,0.115,0.051,0.13,0.07,0.096,0.073,0.055,0.058,-0.9999,-0.9976,-0.9993,-0.8862,-0.9982,47,1075,0.04372093023255814,163,0.1516279069767442,389,347,198,85,56,65,45,34,11,8
Blade: Trinity,Blade-Trinity,1,-0.9962,-0.9639,0.9114,-0.647,0.9848,"{'neg': 0.126, 'neu': 0.777, 'pos': 0.097, 'compound': -0.9995}","{'neg': 0.101, 'neu': 0.821, 'pos': 0.078, 'compound': -0.9948}","{'neg': 0.086, 'neu': 0.813, 'pos': 0.102, 'compound': 0.9841}","{'neg': 0.124, 'neu': 0.741, 'pos': 0.134, 'compound': -0.8987}","{'neg': 0.093, 'neu': 0.778, 'pos': 0.129, 'compound': 0.9848}",0.126,0.101,0.086,0.124,0.093,0.097,0.078,0.102,0.134,0.129,-0.9995,-0.9948,0.9841,-0.8987,0.9848,35,524,0.06679389312977099,56,0.10687022900763359,177,113,78,88,68,13,19,14,6,4
Fight Club,Fight-Club,1,-0.9995,0.9992,0.9858,0.9312,0.9571,"{'neg': 0.118, 'neu': 0.787, 'pos': 0.095, 'compound': -1.0}","{'neg': 0.101, 'neu': 0.761, 'pos': 0.138, 'compound': 0.9999}","{'neg': 0.115, 'neu': 0.725, 'pos': 0.16, 'compound': 0.9971}","{'neg': 0.062, 'neu': 0.811, 'pos': 0.128, 'compound': 0.9312}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.118,0.101,0.115,0.062,0.0,0.095,0.138,0.16,0.128,0.0,-1.0,0.9999,0.9971,0.9312,0.0,55,1614,0.03407682775712516,111,0.0687732342007435,872,506,174,31,31,96,7,7,1,0
The Long Kiss Goodnight,"Long-Kiss-Goodnight,-The",0,-0.9998,-0.9982,-0.9747,-0.9992,-0.9852,"{'neg': 0.188, 'neu': 0.705, 'pos': 0.107, 'compound': -1.0}","{'neg': 0.16, 'neu': 0.702, 'pos': 0.139, 'compound': -0.9999}","{'neg': 0.127, 'neu': 0.754, 'pos': 0.12, 'compound': -0.9747}","{'neg': 0.182, 'neu': 0.735, 'pos': 0.083, 'compound': -0.9992}","{'neg': 0.109, 'neu': 0.823, 'pos': 0.068, 'compound': -0.9958}",0.188,0.16,0.127,0.182,0.109,0.107,0.139,0.12,0.083,0.068,-1.0,-0.9999,-0.9747,-0.9992,-0.9958,51,1134,0.04497354497354497,31,0.027336860670194002,337,306,254,168,69,7,10,2,6,6
Hudson Hawk,Hudson-Hawk,0,0.99,0.9947,0.5124,0.9779,0.992,"{'neg': 0.125, 'neu': 0.733, 'pos': 0.142, 'compound': 0.9995}","{'neg': 0.111, 'neu': 0.738, 'pos': 0.151, 'compound': 0.9996}","{'neg': 0.127, 'neu': 0.759, 'pos': 0.114, 'compound': -0.8683}","{'neg': 0.126, 'neu': 0.72, 'pos': 0.154, 'compound': 0.9981}","{'neg': 0.107, 'neu': 0.738, 'pos': 0.155, 'compound': 0.9978}",0.125,0.111,0.127,0.126,0.107,0.142,0.151,0.114,0.154,0.155,0.9995,0.9996,-0.8683,0.9981,0.9978,31,795,0.0389937106918239,57,0.07169811320754717,356,138,125,85,91,22,5,7,10,13
Jurassic Park,Jurassic-Park,1,0.9956,0.9997,-0.9802,-0.9825,0.9909,"{'neg': 0.092, 'neu': 0.776, 'pos': 0.132, 'compound': 0.9988}","{'neg': 0.076, 'neu': 0.76, 'pos': 0.165, 'compound': 1.0}","{'neg': 0.128, 'neu': 0.766, 'pos': 0.106, 'compound': -0.9985}","{'neg': 0.126, 'neu': 0.784, 'pos': 0.09, 'compound': -0.9985}","{'neg': 0.05, 'neu': 0.832, 'pos': 0.117, 'compound': 0.9989}",0.092,0.076,0.128,0.126,0.05,0.132,0.165,0.106,0.09,0.117,0.9988,1.0,-0.9985,-0.9985,0.9989,27,829,0.032569360675512665,66,0.07961399276236429,245,281,128,103,72,20,22,13,9,2
The American President,"American-President,-The",1,0.9999,0.9994,0.9971,0.9485,0.9833,"{'neg': 0.088, 'neu': 0.758, 'pos': 0.154, 'compound': 1.0}","{'neg': 0.107, 'neu': 0.746, 'pos': 0.147, 'compound': 1.0}","{'neg': 0.088, 'neu': 0.77, 'pos': 0.142, 'compound': 0.9992}","{'neg': 0.078, 'neu': 0.807, 'pos': 0.115, 'compound': 0.9925}","{'neg': 0.059, 'neu': 0.829, 'pos': 0.112, 'compound': 0.9833}",0.088,0.107,0.088,0.078,0.059,0.154,0.147,0.142,0.115,0.112,1.0,1.0,0.9992,0.9925,0.9833,69,1505,0.04584717607973422,100,0.0664451827242525,822,419,147,84,33,75,11,8,5,1
Wild Hogs,Wild-Hogs,1,0.9999,0.9972,0.9986,0.9931,0.9946,"{'neg': 0.09, 'neu': 0.767, 'pos': 0.143, 'compound': 1.0}","{'neg': 0.11, 'neu': 0.765, 'pos': 0.126, 'compound': 0.9998}","{'neg': 0.085, 'neu': 0.787, 'pos': 0.128, 'compound': 0.9999}","{'neg': 0.09, 'neu': 0.788, 'pos': 0.123, 'compound': 0.9996}","{'neg': 0.114, 'neu': 0.737, 'pos': 0.15, 'compound': 0.9997}",0.09,0.11,0.085,0.09,0.114,0.143,0.126,0.128,0.123,0.15,1.0,0.9998,0.9999,0.9996,0.9997,54,2163,0.024965325936199722,307,0.14193250115580214,857,496,302,289,219,129,81,38,37,22
Marley & Me,Marley-&-Me,1,1.0,0.9997,0.9967,0.9973,0.9688,"{'neg': 0.07, 'neu': 0.768, 'pos': 0.162, 'compound': 1.0}","{'neg': 0.058, 'neu': 0.81, 'pos': 0.132, 'compound': 0.9999}","{'neg': 0.062, 'neu': 0.817, 'pos': 0.121, 'compound': 0.9996}","{'neg': 0.063, 'neu': 0.786, 'pos': 0.15, 'compound': 0.9997}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.07,0.058,0.062,0.063,0.0,0.162,0.132,0.121,0.15,0.0,1.0,0.9999,0.9996,0.9997,0.0,50,1674,0.02986857825567503,146,0.08721624850657109,935,439,150,124,26,59,51,21,15,0
The Green Mile,"Green-Mile,-The",1,-0.9669,0.985,-0.9965,-0.9984,-0.9891,"{'neg': 0.135, 'neu': 0.725, 'pos': 0.139, 'compound': -0.998}","{'neg': 0.131, 'neu': 0.71, 'pos': 0.159, 'compound': 0.9981}","{'neg': 0.117, 'neu': 0.814, 'pos': 0.068, 'compound': -0.9998}","{'neg': 0.161, 'neu': 0.776, 'pos': 0.063, 'compound': -0.9998}","{'neg': 0.149, 'neu': 0.735, 'pos': 0.116, 'compound': -0.9985}",0.135,0.131,0.117,0.161,0.149,0.139,0.159,0.068,0.063,0.116,-0.998,0.9981,-0.9998,-0.9998,-0.9985,38,1184,0.03209459459459459,89,0.07516891891891891,592,198,167,127,100,51,2,17,5,14
The Truman Show,"Truman-Show,-The",1,-0.9324,0.9685,-0.991,0.9736,0.7359,"{'neg': 0.083, 'neu': 0.828, 'pos': 0.088, 'compound': -0.9773}","{'neg': 0.109, 'neu': 0.776, 'pos': 0.115, 'compound': 0.9906}","{'neg': 0.149, 'neu': 0.781, 'pos': 0.07, 'compound': -0.9978}","{'neg': 0.072, 'neu': 0.827, 'pos': 0.101, 'compound': 0.9736}","{'neg': 0.021, 'neu': 0.925, 'pos': 0.054, 'compound': 0.8875}",0.083,0.109,0.149,0.072,0.021,0.088,0.115,0.07,0.101,0.054,-0.9773,0.9906,-0.9978,0.9736,0.8875,20,744,0.026881720430107527,63,0.0846774193548387,371,185,74,92,22,16,16,12,9,10
The Bourne Identity,"Bourne-Identity,-The",1,0.503,-0.9415,0.9525,0.955,-0.9962,"{'neg': 0.101, 'neu': 0.807, 'pos': 0.091, 'compound': 0.4867}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.064, 'neu': 0.843, 'pos': 0.093, 'compound': 0.9864}","{'neg': 0.028, 'neu': 0.87, 'pos': 0.102, 'compound': 0.955}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.101,0.0,0.064,0.028,0.0,0.091,0.0,0.093,0.102,0.0,0.4867,0.0,0.9864,0.955,0.0,23,694,0.03314121037463977,9,0.012968299711815562,274,167,121,45,87,6,0,2,1,0
The Italian Job,"Italian-Job,-The",1,0.9972,0.989,0.9896,-0.8125,0.9945,"{'neg': 0.082, 'neu': 0.794, 'pos': 0.124, 'compound': 0.9997}","{'neg': 0.068, 'neu': 0.814, 'pos': 0.118, 'compound': 0.989}","{'neg': 0.039, 'neu': 0.872, 'pos': 0.088, 'compound': 0.9988}","{'neg': 0.098, 'neu': 0.823, 'pos': 0.079, 'compound': -0.9305}","{'neg': 0.085, 'neu': 0.763, 'pos': 0.151, 'compound': 0.9945}",0.082,0.068,0.039,0.098,0.085,0.124,0.118,0.088,0.079,0.151,0.9997,0.989,0.9988,-0.9305,0.9945,23,696,0.033045977011494254,39,0.05603448275862069,261,142,110,81,102,19,5,6,6,3
Antz,Antz,1,-0.93,-0.9872,-0.9055,-0.7689,0.9892,"{'neg': 0.09, 'neu': 0.83, 'pos': 0.079, 'compound': -0.9763}","{'neg': 0.147, 'neu': 0.728, 'pos': 0.125, 'compound': -0.9872}","{'neg': 0.127, 'neu': 0.776, 'pos': 0.096, 'compound': -0.9055}","{'neg': 0.119, 'neu': 0.786, 'pos': 0.095, 'compound': -0.7689}","{'neg': 0.092, 'neu': 0.694, 'pos': 0.214, 'compound': 0.9972}",0.09,0.147,0.127,0.119,0.092,0.079,0.125,0.096,0.095,0.214,-0.9763,-0.9872,-0.9055,-0.7689,0.9972,23,420,0.05476190476190476,14,0.03333333333333333,155,126,56,36,47,4,2,1,1,6
The Family Man,"Family-Man,-The",1,0.9999,0.9997,0.9983,0.9956,0.8736,"{'neg': 0.066, 'neu': 0.788, 'pos': 0.146, 'compound': 1.0}","{'neg': 0.06, 'neu': 0.779, 'pos': 0.16, 'compound': 0.9997}","{'neg': 0.056, 'neu': 0.778, 'pos': 0.166, 'compound': 0.9983}","{'neg': 0.059, 'neu': 0.8, 'pos': 0.141, 'compound': 0.9988}","{'neg': 0.081, 'neu': 0.816, 'pos': 0.103, 'compound': 0.8736}",0.066,0.06,0.056,0.059,0.081,0.146,0.16,0.166,0.141,0.103,1.0,0.9997,0.9983,0.9988,0.8736,19,1051,0.01807802093244529,136,0.12940057088487156,615,231,83,68,54,40,54,14,15,13
The Horse Whisperer,"Horse-Whisperer,-The",1,0.9999,0.9999,0.9978,0.9992,0.9977,"{'neg': 0.084, 'neu': 0.763, 'pos': 0.153, 'compound': 1.0}","{'neg': 0.066, 'neu': 0.757, 'pos': 0.177, 'compound': 1.0}","{'neg': 0.06, 'neu': 0.81, 'pos': 0.13, 'compound': 0.9978}","{'neg': 0.065, 'neu': 0.788, 'pos': 0.148, 'compound': 0.9999}","{'neg': 0.088, 'neu': 0.766, 'pos': 0.146, 'compound': 0.9997}",0.084,0.066,0.06,0.065,0.088,0.153,0.177,0.13,0.148,0.146,1.0,1.0,0.9978,0.9999,0.9997,55,1539,0.03573749187784275,101,0.06562703053931124,624,385,229,176,125,49,26,5,7,14
Coraline,Coraline,1,0.9983,-0.9925,0.999,0.9869,0.6728,"{'neg': 0.109, 'neu': 0.745, 'pos': 0.146, 'compound': 0.9998}","{'neg': 0.131, 'neu': 0.826, 'pos': 0.043, 'compound': -0.9925}","{'neg': 0.03, 'neu': 0.689, 'pos': 0.282, 'compound': 0.999}","{'neg': 0.096, 'neu': 0.734, 'pos': 0.17, 'compound': 0.9869}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.109,0.131,0.03,0.096,0.0,0.146,0.043,0.282,0.17,0.0,0.9998,-0.9925,0.999,0.9869,0.0,15,656,0.022865853658536585,35,0.053353658536585365,416,68,60,63,49,17,1,7,10,0
